unique_id,track_id,veh_type,traveled_distance,avg_speed
20181024_d1_0830_0900_83,84,Taxi,47.42,8.368982
20181024_d1_0830_0900_84,85,Heavy Vehicle,162.57,0.821502
20181024_d1_0830_0900_85,86,Car,124.14,0.894165
20181024_d1_0830_0900_86,87,Car,267.76,3.733237
20181024_d1_0830_0900_87,88,Car,129.13,12.701076
20181024_d1_0830_0900_88,89,Motorcycle,64.32,14.118982
20181024_d1_0830_0900_89,90,Taxi,465.45,20.285877
20181024_d1_0830_0900_90,91,Motorcycle,200.41,14.091146
20181024_d1_0830_0900_91,92,Taxi,214.67,14.97669
20181024_d1_0830_0900_92,93,Motorcycle,193.61,28.800755
20181024_d1_0830_0900_93,94,Car,110.34,9.237562
20181024_d1_0830_0900_94,95,Taxi,463.5,20.600212
20181024_d1_0830_0900_95,96,Car,204.85,14.749486
20181024_d1_0830_0900_96,97,Heavy Vehicle,467.87,16.102669
20181024_d1_0830_0900_97,98,Motorcycle,9.37,8.433102
20181024_d1_0830_0900_98,99,Motorcycle,19.93,22.420906
20181024_d1_0830_0900_99,100,Car,212.97,10.618917
20181024_d1_0830_0900_100,101,Car,169.41,9.932919
20181024_d1_0830_0900_101,102,Motorcycle,463.17,31.942672
20181024_d1_0830_0900_102,103,Motorcycle,57.62,23.048464
20181024_d1_0830_0900_103,104,Car,196.09,14.118836
20181024_d1_0830_0900_104,105,Taxi,235.0,30.000579
20181024_d1_0830_0900_105,106,Medium Vehicle,502.33,31.726205
20181024_d1_0830_0900_106,107,Car,236.72,25.668102
20181024_d1_0830_0900_107,108,Motorcycle,79.34,13.472079
20181024_d1_0830_0900_108,109,Car,196.8,14.169529
20181024_d1_0830_0900_109,110,Motorcycle,489.1,35.215056
20181024_d1_0830_0900_110,111,Motorcycle,346.02,15.570855
20181024_d1_0830_0900_111,112,Car,485.57,29.527702
20181024_d1_0830_0900_112,113,Taxi,498.93,32.073758
20181024_d1_0830_0900_113,114,Motorcycle,345.72,15.104365
20181024_d1_0830_0900_114,115,Taxi,486.39,30.189553
20181024_d1_0830_0900_115,116,Car,264.09,14.948745
20181024_d1_0830_0900_116,117,Motorcycle,261.73,16.472408
20181024_d1_0830_0900_117,118,Car,483.02,30.506824
20181024_d1_0830_0900_118,119,Car,347.36,1.593008
20181024_d1_0830_0900_119,120,Car,332.18,22.56318
20181024_d1_0830_0900_120,121,Car,109.56,16.0333
20181024_d1_0830_0900_121,122,Car,39.34,12.003092
20181024_d1_0830_0900_122,123,Car,236.57,8.399053
20181024_d1_0830_0900_123,124,Car,206.17,32.553122
20181024_d1_0830_0900_124,125,Car,212.07,4.013894
20181024_d1_0830_0900_125,126,Taxi,483.24,23.636685
20181024_d1_0830_0900_126,127,Car,498.84,34.802491
20181024_d1_0830_0900_127,128,Taxi,108.46,20.127502
20181024_d1_0830_0900_128,129,Car,284.79,2.024552
20181024_d1_0830_0900_129,130,Car,483.11,23.005001
20181024_d1_0830_0900_130,131,Taxi,233.66,27.48905
20181024_d1_0830_0900_131,132,Car,483.28,19.417664
20181024_d1_0830_0900_132,133,Car,36.86,8.191375
20181024_d1_0830_0900_133,134,Heavy Vehicle,360.54,15.127475
20181024_d1_0830_0900_134,135,Car,37.69,15.07445
20181024_d1_0830_0900_135,136,Car,482.51,38.94721
20181024_d1_0830_0900_136,137,Motorcycle,253.1,18.150943
20181024_d1_0830_0900_137,138,Car,358.27,16.706995
20181024_d1_0830_0900_138,139,Taxi,233.46,16.479291
20181024_d1_0830_0900_139,140,Motorcycle,494.53,25.432973
20181024_d1_0830_0900_140,141,Motorcycle,315.2,15.848026
20181024_d1_0830_0900_141,142,Car,231.84,28.583531
20181024_d1_0830_0900_142,143,Taxi,322.91,16.145688
20181024_d1_0830_0900_143,144,Taxi,479.97,22.85573
20181024_d1_0830_0900_144,145,Car,108.65,23.008078
20181024_d1_0830_0900_145,146,Bus,486.71,14.601304
20181024_d1_0830_0900_146,147,Car,361.47,14.821003
20181024_d1_0830_0900_147,148,Car,349.35,19.171578
20181024_d1_0830_0900_148,149,Car,110.43,24.847595
20181024_d1_0830_0900_149,150,Medium Vehicle,347.51,11.498532
20181024_d1_0830_0900_150,151,Motorcycle,358.71,20.432846
20181024_d1_0830_0900_151,152,Motorcycle,481.44,16.137728
20181024_d1_0830_0900_152,153,Taxi,111.52,25.09105
20181024_d1_0830_0900_153,154,Car,348.85,10.845187
20181024_d1_0830_0900_154,155,Car,357.73,17.886421
20181024_d1_0830_0900_155,156,Taxi,349.17,11.084893
20181024_d1_0830_0900_156,157,Car,354.48,11.926515
20181024_d1_0830_0900_157,158,Motorcycle,250.92,18.435099
20181024_d1_0830_0900_158,159,Car,351.26,11.310698
